dropout,seed,lr,batch_size,best_valid_acc,best_valid_macro_f1,test_acc,test_macro_f1,test_weighted_f1
0.0,0,0.0003,64,0.9647041593438781,0.9473385182672086,0.9685360524399126,0.9528610526900705,0.9684125483958721
0.0,1,0.0003,64,0.963386057410662,0.9449869615379187,0.9666423889293518,0.9501541121083834,0.9664544420474808
0.0,2,0.0003,64,0.9617750439367311,0.9434984747631244,0.9695557174071376,0.947221401578021,0.9694896061890685
0.1,0,0.0003,64,0.9616285881663738,0.9432457503010894,0.9678077203204661,0.9534993441338897,0.9676282001512564
0.1,1,0.0003,64,0.9620679554774458,0.9435095845148599,0.9695557174071376,0.9562016110089465,0.969413280730525
0.1,2,0.0003,64,0.9614821323960164,0.9434101507256897,0.9695557174071376,0.9566154295385263,0.969473773603493
0.2,0,0.0003,64,0.9632396016403046,0.9458362481188852,0.9694100509832484,0.9554740948356667,0.9692674954468714
0.2,1,0.0003,64,0.9642647920328061,0.94700501308353,0.9698470502549162,0.9555032985214648,0.9697434446089404
0.2,2,0.0003,64,0.9641183362624487,0.9464271024309525,0.9723233794610342,0.9608017995226373,0.972151701540999
0.3,0,0.0003,64,0.9655828939660223,0.9503232889345424,0.9685360524399126,0.9558500031256183,0.96850869776145
0.3,1,0.0003,64,0.9606033977738723,0.9424312267658465,0.9694100509832484,0.9564388826869674,0.9693142749232626
0.3,2,0.0003,64,0.9639718804920914,0.9468088705496199,0.9667880553532411,0.9500129573287115,0.9666715424381092
